Date,Time,Open,High,Low,Close,TickVolume,Volume,Spread,datetime,Target_Close
2025.05.13,18:00:00,3242.76,3255.92,3242.07,3253.42,9366,0,5,2025-05-13 18:00:00,3251.11
2025.05.13,19:00:00,3253.44,3257.83,3248.72,3251.11,7221,0,5,2025-05-13 19:00:00,3247.13
2025.05.13,20:00:00,3251.01,3252.74,3242.13,3247.13,6291,0,7,2025-05-13 20:00:00,3248.76
2025.05.13,21:00:00,3247.12,3250.9,3245.84,3248.76,4927,0,7,2025-05-13 21:00:00,3249.44
2025.05.13,22:00:00,3248.92,3251.14,3246.38,3249.44,4203,0,7,2025-05-13 22:00:00,3249.98
2025.05.13,23:00:00,3249.42,3254.76,3248.1,3249.98,2037,0,7,2025-05-13 23:00:00,3254.59
2025.05.14,01:00:00,3249.83,3254.64,3249.35,3254.59,2028,0,7,2025-05-14 01:00:00,3254.33
2025.05.14,02:00:00,3254.54,3257.1,3252.15,3254.33,2260,0,7,2025-05-14 02:00:00,3243.87
2025.05.14,03:00:00,3254.33,3254.55,3240.59,3243.87,6575,0,7,2025-05-14 03:00:00,3239.01
2025.05.14,04:00:00,3243.87,3251.99,3237.44,3239.01,9804,0,7,2025-05-14 04:00:00,3232.76
2025.05.14,05:00:00,3239.01,3241.53,3229.03,3232.76,8300,0,7,2025-05-14 05:00:00,3228.51
2025.05.14,06:00:00,3232.76,3233.64,3226.27,3228.51,7216,0,7,2025-05-14 06:00:00,3223.97
2025.05.14,07:00:00,3228.51,3230.35,3222.63,3223.97,6271,0,7,2025-05-14 07:00:00,3233.78
2025.05.14,08:00:00,3223.97,3234.35,3221.69,3233.78,6384,0,7,2025-05-14 08:00:00,3228.7
2025.05.14,09:00:00,3233.86,3236.77,3227.77,3228.7,8425,0,5,2025-05-14 09:00:00,3238.09
2025.05.14,10:00:00,3228.71,3238.87,3224.3,3238.09,9549,0,5,2025-05-14 10:00:00,3232.62
2025.05.14,11:00:00,3238.09,3243.83,3230.51,3232.62,10133,0,5,2025-05-14 11:00:00,3232.4
2025.05.14,12:00:00,3232.64,3236.54,3229.15,3232.4,8994,0,5,2025-05-14 12:00:00,3235.67
2025.05.14,13:00:00,3232.32,3236.52,3229.65,3235.67,7261,0,5,2025-05-14 13:00:00,3220.16
2025.05.14,14:00:00,3235.72,3239.23,3219.59,3220.16,7896,0,5,2025-05-14 14:00:00,3184.93
2025.05.14,15:00:00,3220.13,3222.54,3184.14,3184.93,14303,0,5,2025-05-14 15:00:00,3191.45
2025.05.14,16:00:00,3184.93,3198.32,3175.07,3191.45,15898,0,5,2025-05-14 16:00:00,3181.87
2025.05.14,17:00:00,3191.44,3194.28,3179.44,3181.87,13229,0,5,2025-05-14 17:00:00,3182.66
2025.05.14,18:00:00,3181.78,3186.74,3179.14,3182.66,10652,0,5,2025-05-14 18:00:00,3188.58
2025.05.14,19:00:00,3182.67,3190.95,3173.88,3188.58,9817,0,6,2025-05-14 19:00:00,3181.92
2025.05.14,20:00:00,3188.55,3190.51,3180.98,3181.92,8178,0,7,2025-05-14 20:00:00,3171.9
2025.05.14,21:00:00,3182.3,3183.03,3171.74,3171.9,7232,0,7,2025-05-14 21:00:00,3180.6
2025.05.14,22:00:00,3171.84,3181.58,3168.06,3180.6,8222,0,7,2025-05-14 22:00:00,3177.4
2025.05.14,23:00:00,3180.59,3183.21,3176.92,3177.4,3538,0,7,2025-05-14 23:00:00,3182.68
2025.05.15,01:00:00,3177.53,3183.97,3177.3,3182.68,2681,0,7,2025-05-15 01:00:00,3186.1
